Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS
Date,,,,,,
2021-12-22,3193.005615234375,3280.10009765625,3285.64990234375,3241.0,3275.699951171875,619865
2021-12-23,3181.129150390625,3267.89990234375,3307.89990234375,3250.0,3290.0,1051596
2021-12-24,3197.5810546875,3284.800048828125,3300.0,3261.0,3280.0,651404
2021-12-27,3185.509765625,3272.39990234375,3284.75,3226.199951171875,3280.10009765625,640701
2021-12-28,3278.76611328125,3368.199951171875,3375.0,3273.0,3275.949951171875,1211648
2021-12-29,3278.0361328125,3367.449951171875,3386.0,3346.199951171875,3372.199951171875,598421
2021-12-30,3276.3330078125,3365.699951171875,3390.0,3350.300048828125,3363.25,691223
2021-12-31,3293.124755859375,3382.949951171875,3405.0,3361.39990234375,3390.0,570671
2022-01-03,3331.527099609375,3422.39990234375,3440.89990234375,3383.0,3383.0,696276
2022-01-04,3367.447265625,3459.300048828125,3472.449951171875,3415.050048828125,3434.0,790886
2022-01-05,3433.155029296875,3526.800048828125,3540.0,3452.050048828125,3470.0,1024506
2022-01-06,3421.32763671875,3514.64990234375,3537.550048828125,3452.14990234375,3491.14990234375,1312743
2022-01-07,3481.3408203125,3576.300048828125,3582.0,3496.550048828125,3514.64990234375,964364
2022-01-10,3459.146240234375,3553.5,3590.0,3527.0,3580.0,657511
2022-01-11,3444.78759765625,3538.75,3564.0,3495.050048828125,3550.60009765625,734344
2022-01-12,3449.70361328125,3543.800048828125,3582.449951171875,3534.0,3556.89990234375,594543
2022-01-13,3364.47802734375,3456.25,3560.0,3450.0,3560.0,1153984
2022-01-14,3275.0673828125,3364.39990234375,3462.0,3346.0,3462.0,1558978
2022-01-17,3288.93896484375,3378.64990234375,3399.0,3321.0,3364.39990234375,1103159
2022-01-18,3284.120361328125,3373.699951171875,3396.449951171875,3351.0,3379.050048828125,558543
2022-01-19,3193.29736328125,3280.39990234375,3370.0,3267.75,3370.0,1495218
2022-01-20,3218.607177734375,3306.39990234375,3364.89990234375,3222.0,3282.0,3075678
2022-01-21,3187.89501953125,3274.85009765625,3324.949951171875,3241.75,3300.050048828125,1441694
2022-01-24,3071.372802734375,3155.14990234375,3270.0,3135.0,3268.0,1575665
2022-01-25,3063.537109375,3147.10009765625,3156.949951171875,3010.75,3100.0,2699779
2022-01-27,3034.187255859375,3116.949951171875,3143.0,3071.25,3140.10009765625,1834684
2022-01-28,3028.25,3110.85009765625,3170.0,3103.0,3130.0,892060
2022-01-31,3068.55029296875,3152.25,3193.449951171875,3136.39990234375,3140.0,944530
2022-02-01,3111.3818359375,3196.25,3212.35009765625,3141.60009765625,3194.0,1008915
2022-02-02,3112.79345703125,3197.699951171875,3244.14990234375,3192.14990234375,3204.800048828125,667265
2022-02-03,3117.95263671875,3203.0,3241.60009765625,3190.199951171875,3212.85009765625,899753
2022-02-04,3150.709228515625,3236.64990234375,3248.800048828125,3176.050048828125,3188.0,705765
2022-02-07,3090.40380859375,3174.699951171875,3251.199951171875,3143.10009765625,3234.0,860393
2022-02-08,3130.947998046875,3216.35009765625,3223.5,3166.199951171875,3179.0,799206
2022-02-09,3142.629638671875,3228.35009765625,3259.0,3222.75,3230.0,472725
2022-02-10,3152.75341796875,3238.75,3248.0,3176.0,3220.0,728666
2022-02-11,3130.899658203125,3216.300048828125,3229.949951171875,3182.5,3229.949951171875,587840
2022-02-14,3059.98388671875,3143.449951171875,3182.699951171875,3120.0,3140.0,681236
2022-02-15,3177.917236328125,3264.60009765625,3270.0,3132.85009765625,3140.0,676844
2022-02-16,3166.47900390625,3252.85009765625,3285.10009765625,3223.0,3280.0,624320
2022-02-17,3179.134033203125,3265.85009765625,3294.949951171875,3236.39990234375,3273.0,636735
2022-02-18,3171.93017578125,3258.449951171875,3272.0,3230.050048828125,3236.14990234375,423801
2022-02-21,3165.31103515625,3251.64990234375,3278.449951171875,3204.14990234375,3235.0,547472
2022-02-22,3141.46142578125,3227.14990234375,3236.800048828125,3120.0,3120.0,1147209
2022-02-23,3151.244140625,3237.199951171875,3296.89990234375,3230.0,3236.89990234375,935896
2022-02-24,2987.5595703125,3069.050048828125,3197.800048828125,3051.5,3130.0,1823450
2022-02-25,3036.37744140625,3119.199951171875,3141.449951171875,3083.050048828125,3105.0,1239456
2022-02-28,3090.355224609375,3174.64990234375,3190.5,3015.0,3090.0,1678348
2022-03-02,2948.5244140625,3028.949951171875,3111.199951171875,2991.10009765625,3107.0,3014206
2022-03-03,2795.64404296875,2871.89990234375,3051.0,2862.0,3029.0,4406840
2022-03-04,2665.445556640625,2738.14990234375,2863.800048828125,2662.050048828125,2863.800048828125,6979253
2022-03-07,2636.5341796875,2708.449951171875,2727.949951171875,2599.35009765625,2649.89990234375,3233760
2022-03-08,2651.087158203125,2723.39990234375,2736.949951171875,2638.0,2690.0,2611102
2022-03-09,2798.613037109375,2874.949951171875,2890.0,2665.050048828125,2750.0,4076068
2022-03-10,2835.45849609375,2912.800048828125,3040.0,2891.199951171875,3000.0,3971987
2022-03-11,2854.14794921875,2932.0,2939.949951171875,2882.35009765625,2917.0,1265493
2022-03-14,2884.13037109375,2962.800048828125,2972.35009765625,2917.300048828125,2950.0,1214217
2022-03-15,2907.834228515625,2987.14990234375,3032.0,2966.0,2998.0,1857685
2022-03-16,2961.2275390625,3042.0,3050.0,3010.75,3043.0,1287234
2022-03-17,3053.315673828125,3136.60009765625,3163.300048828125,3076.5,3113.5,2867519
2022-03-21,2964.878173828125,3045.75,3117.300048828125,3030.10009765625,3117.300048828125,1259015
2022-03-22,2970.134765625,3051.14990234375,3062.699951171875,2975.0,3024.0,1515772
2022-03-23,2936.697021484375,3016.800048828125,3079.89990234375,3005.0,3060.0,948403
2022-03-24,2945.020263671875,3025.35009765625,3038.949951171875,2950.550048828125,2969.5,1243917
2022-03-25,2966.04638671875,3046.949951171875,3064.550048828125,2991.0,3025.35009765625,1083275
2022-03-28,2947.063720703125,3027.449951171875,3058.60009765625,2995.64990234375,3046.949951171875,680332
2022-03-29,2961.81201171875,3042.60009765625,3087.699951171875,3012.699951171875,3069.0,1120936
2022-03-30,2999.727294921875,3081.550048828125,3094.35009765625,3055.89990234375,3078.0,849545
2022-03-31,2998.169921875,3079.949951171875,3129.25,3066.10009765625,3115.0,1464862
2022-04-01,3031.462158203125,3114.14990234375,3121.0,3087.64990234375,3110.0,637392
2022-04-04,3035.209716796875,3118.0,3143.0,3093.5,3124.949951171875,873264
2022-04-05,3057.404296875,3140.800048828125,3157.0,3080.0,3110.0,805874
2022-04-06,3070.25341796875,3154.0,3165.0,3113.0,3137.0,736379
2022-04-07,3071.226806640625,3155.0,3208.949951171875,3145.5,3154.0,1025244
2022-04-08,3121.116455078125,3206.25,3220.0,3151.199951171875,3168.0,678898
2022-04-11,3073.612060546875,3157.449951171875,3222.0,3150.0,3184.0,672652
2022-04-12,3045.576904296875,3128.64990234375,3162.10009765625,3114.14990234375,3154.699951171875,794265
2022-04-13,2998.851318359375,3080.64990234375,3121.89990234375,3066.10009765625,3117.199951171875,1121350
2022-04-18,2941.320556640625,3021.550048828125,3058.0,3013.0,3056.0,1032504
2022-04-19,2911.7763671875,2991.199951171875,3059.199951171875,2970.0,3030.0,749782
2022-04-20,3001.13916015625,3083.0,3089.5,2980.0,2991.300048828125,838182
2022-04-21,3074.390869140625,3158.25,3174.39990234375,3086.050048828125,3089.800048828125,1069035
2022-04-22,3080.37744140625,3164.39990234375,3173.300048828125,3113.25,3121.5,681191
2022-04-25,3047.47509765625,3130.60009765625,3155.10009765625,3095.10009765625,3134.0,1096774
2022-04-26,3042.656494140625,3125.64990234375,3148.699951171875,3105.800048828125,3130.0,1703441
2022-04-27,3064.754150390625,3148.35009765625,3164.0,3085.949951171875,3096.0,963536
2022-04-28,3161.466064453125,3247.699951171875,3268.0,3170.0,3190.0,2001838
2022-04-29,3151.244140625,3237.199951171875,3278.0,3221.300048828125,3249.0,1088970
2022-05-02,3115.03271484375,3200.0,3211.5,3154.050048828125,3195.0,595522
2022-05-04,3018.51513671875,3100.85009765625,3194.699951171875,3081.449951171875,3178.0,1120002
2022-05-05,2994.860107421875,3076.550048828125,3126.949951171875,3070.0,3104.75,724601
2022-05-06,2936.161376953125,3016.25,3052.39990234375,3003.89990234375,3020.0,923941
2022-05-09,2925.45361328125,3005.25,3038.800048828125,2975.0,3000.85009765625,998324
2022-05-10,3004.400146484375,3086.35009765625,3138.75,3036.0,3051.0,2460016
2022-05-11,2972.568603515625,3053.64990234375,3109.550048828125,2979.0,3090.39990234375,1883969
2022-05-12,2959.232177734375,3039.949951171875,3078.0,2988.0,3042.0,1254245
2022-05-13,2982.6435546875,3064.0,3116.25,3035.300048828125,3074.39990234375,1121729
2022-05-16,2920.245361328125,2999.89990234375,3089.89990234375,2985.199951171875,3089.89990234375,733044
2022-05-17,2969.01513671875,3050.0,3056.60009765625,2951.0,2998.89990234375,1179081
2022-05-18,3017.784912109375,3100.10009765625,3128.800048828125,3026.0,3030.0,1379763
2022-05-19,2965.99755859375,3046.89990234375,3071.699951171875,3000.449951171875,3000.5,772390
2022-05-20,3027.37353515625,3109.949951171875,3125.0,3070.0,3080.0,778957
2022-05-23,3089.917724609375,3174.199951171875,3188.0,3130.050048828125,3143.949951171875,813294
2022-05-24,3004.88720703125,3086.85009765625,3183.64990234375,3070.0,3174.75,691307
2022-05-25,2762.693115234375,2838.050048828125,3039.0,2826.300048828125,3039.0,3381427
2022-05-26,2764.7373046875,2840.14990234375,2860.0,2718.550048828125,2850.0,3212196
2022-05-27,2759.578125,2834.85009765625,2869.0,2781.0,2868.0,1879534
2022-05-30,2768.485107421875,2844.0,2884.0,2817.0,2880.0,2525482
2022-05-31,2783.719482421875,2859.64990234375,2878.0,2811.0,2844.0,2408221
2022-06-01,2776.759033203125,2852.5,2939.89990234375,2832.050048828125,2859.64990234375,1770795
2022-06-02,2831.321044921875,2908.550048828125,2919.0,2848.0,2870.199951171875,1164197
2022-06-03,2810.245849609375,2886.89990234375,2919.449951171875,2856.0,2905.0,1228489
2022-06-06,2742.64013671875,2817.449951171875,2872.0,2807.699951171875,2871.10009765625,1193698
2022-06-07,2671.822021484375,2744.699951171875,2804.0,2731.0,2800.0,1403598
2022-06-08,2633.370361328125,2705.199951171875,2775.0,2700.0,2771.89990234375,1743575
2022-06-09,2630.53125,2686.800048828125,2697.60009765625,2633.75,2680.0,1857501
2022-06-10,2652.021728515625,2708.75,2736.0,2652.0,2665.0,1592920
2022-06-13,2605.02685546875,2660.75,2683.0,2642.5,2669.949951171875,1674206
2022-06-14,2580.20751953125,2635.39990234375,2666.35009765625,2585.0,2617.0,2296040
2022-06-15,2605.41845703125,2661.14990234375,2683.60009765625,2627.10009765625,2650.0,928842
2022-06-16,2601.7958984375,2657.449951171875,2725.449951171875,2640.0,2694.949951171875,1280628
2022-06-17,2526.163818359375,2580.199951171875,2657.0,2560.0,2650.10009765625,2043251
2022-06-20,2604.97802734375,2660.699951171875,2673.35009765625,2588.35009765625,2600.0,1595360
2022-06-21,2622.25830078125,2678.35009765625,2710.0,2640.0,2674.949951171875,1042074
2022-06-22,2610.509765625,2666.35009765625,2707.949951171875,2626.35009765625,2688.0,1871760
2022-06-23,2700.43603515625,2758.199951171875,2767.949951171875,2674.949951171875,2674.949951171875,1612872
2022-06-24,2703.079345703125,2760.89990234375,2784.800048828125,2726.0,2775.0,2215583
2022-06-27,2761.8720703125,2820.949951171875,2827.64990234375,2765.0,2779.89990234375,1295734
2022-06-28,2669.400146484375,2726.5,2784.800048828125,2704.300048828125,2780.0,1838358
2022-06-29,2641.30078125,2697.800048828125,2719.0,2678.0,2706.5,1066354
2022-06-30,2638.755126953125,2695.199951171875,2726.949951171875,2680.0,2714.85009765625,1291447
2022-07-01,2715.0732421875,2773.14990234375,2780.0,2685.0,2704.89990234375,1477191
2022-07-04,2731.86376953125,2790.300048828125,2798.0,2744.800048828125,2775.14990234375,653147
