Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,,
2021-12-22,674.842041015625,684.75,686.0,667.0,667.0,8522226
2021-12-23,668.9287719726562,678.75,689.0,675.5,689.0,5602466
2021-12-24,667.25341796875,677.0499877929688,682.8499755859375,672.6500244140625,682.0999755859375,3756020
2021-12-27,665.9722900390625,675.75,678.3499755859375,668.6500244140625,674.9500122070312,3658572
2021-12-28,670.2099609375,680.0499877929688,683.5,675.0499877929688,679.8499755859375,3892590
2021-12-29,667.0563354492188,676.8499755859375,683.5,675.0,679.9500122070312,3847574
2021-12-30,669.5201416015625,679.3499755859375,685.7999877929688,674.2000122070312,677.5,5701612
2021-12-31,673.90576171875,683.7999877929688,694.0999755859375,680.0,680.5,4598628
2022-01-03,681.2972412109375,691.2999877929688,692.5999755859375,683.0999755859375,687.7999877929688,2939833
2022-01-04,687.3582153320312,697.4500122070312,703.25,690.4000244140625,692.25,6473875
2022-01-05,689.871337890625,700.0,702.75,691.75,700.9000244140625,4586105
2022-01-06,700.1209106445312,710.4000244140625,720.5,700.0,702.0,21642414
2022-01-07,694.5033569335938,704.7000122070312,715.1500244140625,701.4500122070312,713.9000244140625,4315015
2022-01-10,694.7496948242188,704.9500122070312,711.3499755859375,703.6500244140625,705.4000244140625,3565324
2022-01-11,693.271484375,703.4500122070312,709.5499877929688,694.5999755859375,703.0,10642484
2022-01-12,719.6343994140625,730.2000122070312,732.7000122070312,704.2000122070312,707.9500122070312,12366953
2022-01-13,721.211181640625,731.7999877929688,735.6500244140625,726.1500244140625,729.0,5829874
2022-01-14,710.1732177734375,720.5999755859375,730.9000244140625,718.4500122070312,729.9500122070312,5344096
2022-01-17,718.0574951171875,728.5999755859375,734.75,719.5499877929688,720.0,4340924
2022-01-18,704.013671875,714.3499755859375,730.7000122070312,712.5499877929688,727.0,4312058
