Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,,
2021-12-22,2178.323974609375,2277.64990234375,2317.39990234375,2269.0,2300.0,1661605
2021-12-23,2200.3203125,2300.64990234375,2305.0,2274.60009765625,2298.949951171875,1423081
2021-12-24,2196.781982421875,2296.949951171875,2313.0,2283.300048828125,2310.0,895503
2021-12-27,2201.037841796875,2301.39990234375,2308.10009765625,2278.25,2296.949951171875,584302
2021-12-28,2208.402587890625,2309.10009765625,2318.39990234375,2297.75,2310.0,783710
2021-12-29,2206.25048828125,2306.85009765625,2321.85009765625,2299.050048828125,2314.89990234375,1410236
2021-12-30,2224.182861328125,2325.60009765625,2330.0,2296.64990234375,2308.0,963711
2021-12-31,2257.225830078125,2360.14990234375,2370.35009765625,2330.0,2340.0,1123597
2022-01-03,2258.325927734375,2361.300048828125,2378.0,2353.0,2378.0,879278
2022-01-04,2296.533935546875,2401.25,2408.10009765625,2355.35009765625,2368.949951171875,1484275
2022-01-05,2310.44921875,2415.800048828125,2420.0,2392.0,2403.800048828125,1202512
2022-01-06,2287.11328125,2391.39990234375,2412.0,2367.699951171875,2398.0,1198901
2022-01-07,2310.783935546875,2416.14990234375,2421.89990234375,2388.0,2388.0,1026186
2022-01-10,2302.0810546875,2407.050048828125,2425.0,2402.0,2425.0,919447
2022-01-11,2298.8291015625,2403.64990234375,2418.300048828125,2392.0,2417.14990234375,1321335
2022-01-12,2307.9150390625,2413.14990234375,2416.0,2398.5,2407.199951171875,1487554
2022-01-13,2308.9189453125,2414.199951171875,2421.89990234375,2403.25,2418.0,1586299
2022-01-14,2260.62158203125,2363.699951171875,2421.0,2360.800048828125,2420.0,1596037
2022-01-17,2285.343994140625,2389.550048828125,2394.199951171875,2345.0,2364.0,912205
2022-01-18,2266.168212890625,2369.5,2408.699951171875,2357.39990234375,2408.699951171875,1667579
2022-01-19,2209.167236328125,2309.89990234375,2368.60009765625,2305.050048828125,2364.0,2145255
2022-01-20,2163.1650390625,2261.800048828125,2325.550048828125,2243.0,2325.0,2829711
2022-01-21,2223.991455078125,2325.39990234375,2334.35009765625,2250.0,2264.800048828125,4596050
2022-01-24,2184.970947265625,2284.60009765625,2344.949951171875,2266.699951171875,2338.89990234375,2231103
2022-01-25,2225.7607421875,2327.25,2333.699951171875,2240.89990234375,2283.5,1843543
2022-01-27,2195.251953125,2295.35009765625,2325.60009765625,2275.0,2310.0,2620474
2022-01-28,2183.966796875,2283.550048828125,2318.699951171875,2278.050048828125,2294.60009765625,1967721
2022-01-31,2174.593994140625,2273.75,2311.85009765625,2271.0,2290.0,1639875
2022-02-01,2205.102783203125,2305.64990234375,2320.0,2278.39990234375,2303.300048828125,1270508
2022-02-02,2226.38232421875,2327.89990234375,2333.0,2296.550048828125,2324.10009765625,1246111
2022-02-03,2197.9296875,2298.14990234375,2331.949951171875,2290.0,2329.0,1448039
