Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,,
2021-12-22,3470.031005859375,3630.75,3636.800048828125,3606.25,3624.0,1224328
2021-12-23,3500.567138671875,3662.699951171875,3670.5,3630.0,3648.0,1792861
2021-12-24,3508.40380859375,3670.89990234375,3705.0,3644.800048828125,3685.0,2209923
2021-12-27,3532.488525390625,3696.10009765625,3700.0,3653.10009765625,3671.0,1534135
2021-12-28,3542.47607421875,3706.550048828125,3725.0,3693.85009765625,3710.0,1456218
2021-12-29,3531.150390625,3694.699951171875,3719.949951171875,3685.0,3692.25,1456923
2021-12-30,3568.4716796875,3733.75,3740.0,3680.0,3681.35009765625,1966475
2021-12-31,3572.86865234375,3738.35009765625,3760.0,3731.300048828125,3742.800048828125,1207141
2022-01-03,3648.75341796875,3817.75,3830.0,3745.0,3750.0,2346158
2022-01-04,3712.787841796875,3884.75,3889.14990234375,3811.699951171875,3831.10009765625,2488606
2022-01-05,3690.041259765625,3860.949951171875,3870.0,3812.39990234375,3865.0,1733031
2022-01-06,3638.90966796875,3807.449951171875,3835.0,3772.0,3812.0,1810293
2022-01-07,3682.92138671875,3853.5,3864.89990234375,3796.39990234375,3820.0,2460591
2022-01-10,3708.105224609375,3879.85009765625,3978.0,3861.0,3978.0,3937092
2022-01-11,3742.55859375,3915.89990234375,3925.0,3856.0,3856.0,1906106
2022-01-12,3689.037109375,3859.89990234375,3929.0,3836.550048828125,3925.0,3203744
2022-01-13,3725.355712890625,3897.89990234375,3923.0,3857.0,3918.0,6684507
2022-01-14,3792.495849609375,3968.14990234375,3977.0,3860.050048828125,3877.85009765625,3348123
2022-01-17,3841.238525390625,4019.14990234375,4043.0,3962.300048828125,3992.699951171875,3442604
2022-01-18,3813.9521484375,3990.60009765625,4041.699951171875,3980.0,4033.949951171875,2389041
2022-01-19,3747.9384765625,3914.64990234375,4012.0,3910.5,4012.0,3102539
2022-01-20,3663.59033203125,3826.550048828125,3920.0,3811.0,3910.0,6176776
2022-01-21,3670.244384765625,3833.5,3851.550048828125,3771.10009765625,3807.0,3112358
2022-01-24,3610.740966796875,3771.35009765625,3849.64990234375,3740.10009765625,3840.0,3258414
2022-01-25,3609.352783203125,3769.89990234375,3809.39990234375,3722.199951171875,3769.5,3330501
2022-01-27,3493.8408203125,3649.25,3733.39990234375,3625.10009765625,3731.0,5718297
2022-01-28,3532.903564453125,3690.050048828125,3729.800048828125,3646.0,3646.0,3143862
2022-01-31,3577.135009765625,3736.25,3758.0,3721.39990234375,3749.0,2739393
2022-02-01,3638.793212890625,3800.64990234375,3808.0,3736.39990234375,3770.0,2105169
2022-02-02,3691.977294921875,3856.199951171875,3864.0,3800.64990234375,3827.89990234375,1984212
2022-02-03,3661.72314453125,3824.60009765625,3882.5,3816.050048828125,3851.0,1960538
2022-02-04,3652.4365234375,3814.89990234375,3824.699951171875,3769.0,3815.300048828125,2307366
2022-02-07,3618.065185546875,3779.0,3831.800048828125,3756.14990234375,3791.0,1919149
2022-02-08,3584.02880859375,3743.449951171875,3799.699951171875,3721.0,3791.550048828125,2946443
2022-02-09,3600.4013671875,3760.550048828125,3777.949951171875,3746.10009765625,3750.0,1638721
2022-02-10,3609.783447265625,3770.35009765625,3789.800048828125,3758.0,3789.800048828125,2112459
2022-02-11,3537.5947265625,3694.949951171875,3752.5,3690.0,3752.5,3851488
2022-02-14,3574.7421875,3733.75,3793.25,3710.0,3724.0,5951745
2022-02-15,3655.212890625,3817.800048828125,3835.0,3748.0,3786.0,3931683
2022-02-16,3650.713134765625,3813.10009765625,3854.10009765625,3806.0,3844.0,3256906
2022-02-17,3623.043701171875,3784.199951171875,3835.0,3779.0,3825.0,3134372
2022-02-18,3632.330810546875,3793.89990234375,3815.949951171875,3757.60009765625,3769.0,3688883
2022-02-21,3561.003662109375,3719.39990234375,3827.800048828125,3705.550048828125,3810.0,7465922
2022-02-22,3433.6669921875,3586.39990234375,3667.89990234375,3570.0,3650.0,5408531
2022-02-23,3412.030029296875,3563.800048828125,3622.89990234375,3555.64990234375,3611.0,2426203
2022-02-24,3256.78515625,3401.64990234375,3483.85009765625,3391.10009765625,3474.0,5039136
2022-02-25,3370.81298828125,3520.75,3530.0,3462.0,3468.0,2549723
2022-02-28,3402.8388671875,3554.199951171875,3563.75,3455.89990234375,3490.0,3288942
2022-03-02,3395.1318359375,3546.14990234375,3571.949951171875,3506.0,3552.5,2761341
2022-03-03,3393.4560546875,3544.39990234375,3578.60009765625,3530.10009765625,3562.85009765625,1928039
2022-03-04,3374.26025390625,3524.35009765625,3561.199951171875,3487.050048828125,3501.5,2370257
2022-03-07,3336.490234375,3484.89990234375,3548.0,3431.550048828125,3450.0,3054130
2022-03-08,3446.640380859375,3599.949951171875,3609.0,3460.0,3460.0,3300992
2022-03-09,3477.89990234375,3632.60009765625,3654.0,3597.050048828125,3605.0,2719654
2022-03-10,3466.745849609375,3620.949951171875,3684.0,3615.0,3684.0,2005441
2022-03-11,3445.87451171875,3599.14990234375,3639.85009765625,3592.85009765625,3603.25,1623423
2022-03-14,3487.85693359375,3643.0,3648.35009765625,3580.0,3580.0,1765688
2022-03-15,3440.84765625,3593.89990234375,3659.0,3585.39990234375,3659.0,3651133
2022-03-16,3500.20751953125,3655.89990234375,3668.0,3616.25,3640.5,3090475
2022-03-17,3516.33984375,3672.75,3710.0,3660.300048828125,3696.60009765625,3600452
2022-03-21,3472.251220703125,3626.699951171875,3713.949951171875,3615.0,3696.0,2413831
2022-03-22,3543.339111328125,3700.949951171875,3711.0,3625.0,3640.0,2907611
2022-03-23,3554.301513671875,3712.39990234375,3729.800048828125,3690.0,3708.0,1596195
2022-03-24,3590.156494140625,3749.85009765625,3758.199951171875,3695.0,3700.0,1879046
2022-03-25,3549.56201171875,3707.449951171875,3779.5,3672.0,3759.89990234375,1690133
2022-03-28,3549.802001953125,3707.699951171875,3713.0,3661.199951171875,3695.0,1760990
2022-03-29,3547.552001953125,3705.35009765625,3722.0,3691.0,3694.75,2689063
2022-03-30,3572.6357421875,3731.550048828125,3738.0,3706.199951171875,3738.0,1583455
2022-03-31,3580.677978515625,3739.949951171875,3754.64990234375,3720.199951171875,3740.0,2168110
2022-04-01,3598.67724609375,3758.75,3763.0,3728.050048828125,3748.0,1387014
2022-04-04,3609.783447265625,3770.35009765625,3780.0,3737.10009765625,3762.0,1472994
2022-04-05,3652.341064453125,3814.800048828125,3835.60009765625,3772.0,3772.0,2314947
2022-04-06,3595.422607421875,3755.35009765625,3809.300048828125,3731.14990234375,3809.300048828125,2051729
2022-04-07,3527.254150390625,3684.14990234375,3745.5,3679.0,3745.5,2494829
2022-04-08,3528.6904296875,3685.64990234375,3705.0,3642.5,3690.0,2296773
2022-04-11,3538.982666015625,3696.39990234375,3712.35009765625,3656.10009765625,3690.0,2291660
2022-04-12,3533.908935546875,3691.10009765625,3739.0,3648.35009765625,3683.0,4483476
2022-04-13,3506.0,3661.949951171875,3709.85009765625,3655.550048828125,3707.0,1621672
2022-04-18,3377.802490234375,3528.050048828125,3610.0,3522.5,3610.0,3820792
2022-04-19,3324.04345703125,3471.89990234375,3563.550048828125,3439.14990234375,3550.0,3170014
2022-04-20,3405.328125,3556.800048828125,3569.14990234375,3480.0,3500.0,2640370
2022-04-21,3474.1181640625,3628.64990234375,3644.0,3567.39990234375,3580.0,2280996
2022-04-22,3458.70361328125,3612.550048828125,3617.0,3571.5,3581.10009765625,1581465
2022-04-25,3397.09375,3548.199951171875,3584.0,3533.10009765625,3558.0,1960694
2022-04-26,3395.275146484375,3546.300048828125,3587.89990234375,3518.14990234375,3575.14990234375,1943469
2022-04-27,3409.54052734375,3561.199951171875,3568.449951171875,3506.300048828125,3546.0,1727648
2022-04-28,3431.656494140625,3584.300048828125,3604.39990234375,3538.050048828125,3588.0,1703660
2022-04-29,3395.658203125,3546.699951171875,3623.25,3536.85009765625,3597.0,2051115
2022-05-02,3391.541259765625,3542.39990234375,3547.949951171875,3492.75,3519.89990234375,1324161
2022-05-04,3331.558837890625,3479.75,3545.449951171875,3465.300048828125,3538.5,2305825
2022-05-05,3363.776123046875,3513.39990234375,3533.0,3485.35009765625,3512.10009765625,1612262
2022-05-06,3286.41748046875,3432.60009765625,3474.5,3424.5,3459.0,2010812
2022-05-09,3298.385009765625,3445.10009765625,3456.0,3346.85009765625,3398.0,2481830
2022-05-10,3292.30517578125,3438.75,3464.800048828125,3422.0,3434.0,1622685
2022-05-11,3266.694580078125,3412.0,3448.449951171875,3382.14990234375,3435.0,1841769
2022-05-12,3263.48681640625,3408.64990234375,3449.699951171875,3350.10009765625,3378.0,2807195
2022-05-13,3269.47119140625,3414.89990234375,3439.89990234375,3382.14990234375,3435.0,2187823
2022-05-16,3232.993896484375,3376.800048828125,3430.0,3366.60009765625,3415.0,1195813
2022-05-17,3304.6083984375,3451.60009765625,3467.0,3350.39990234375,3370.0,1754076
2022-05-18,3301.92724609375,3448.800048828125,3495.0,3443.050048828125,3465.0,1866781
2022-05-19,3123.034912109375,3261.949951171875,3405.0,3230.0,3397.0,4642963
2022-05-20,3152.7626953125,3293.0,3313.89990234375,3270.050048828125,3310.0,3065125
